,Unnamed: 0,book,author,URL,publisher,date,pages,Sales_rank,author_info,assumed_author_gender,avg_rating,no_of_reviews
22,22, JFK, Fredrik  Logevall,/w/jfk-fredrik-logevall/1135592765?ean=9780812997132,Random House Publishing Group,09/08/2020,816,751,""">
<b>Fredrik Logevall</b> is Laurence D. Belfer Professor of International Affairs and professor of history at Harvard University. A specialist on U.S. foreign-relations history and modern international history, he is the author or editor of nine books, most recently <i>Embers of War</i>, which won the Pulitzer Prize for History and the Francis Parkman Prize.",M,5.0,6
23,23, The Baddest Bitch in the Room, Sophia Chang,/w/the-baddest-bitch-in-the-room-sophia-chang/1136009086?ean=9781646220090,Catapult,09/08/2020,320,"188,605",""">
<b>Sophia Chang</b> is a Korean-Canadian music business matriarchitect who was the first Asian woman in hip-hop. She worked with Paul Simon and managed Ol’ Dirty Bastard, RZA, GZA, Q-Tip, A Tribe Called Quest, Raphael Saadiq, and D'Angelo. In 1995, Chang left music to train kung fu and manage a Shaolin Monk who became her partner and father of two children. She also produced runway shows, worked at a digital agency, and is developing TV and film properties.",F,0,0
24,24, The Nature of Life and Death, Patricia Wiltshire,/w/the-nature-of-life-and-death-patricia-wiltshire/1130773526?ean=9780525542223,Penguin Publishing Group,09/01/2020,304,"126,583",""">
<b>Professor Patricia Wiltshire</b> is a forensic ecologist, botanist, and palynologist, and also has a background in environmental archaeology. She has worked with every police force in the United Kingdom, and on many high-profile cases. She regularly lectures at conferences and scientific meetings all over the world, and is active in research and publishing, as well as university teaching. Wiltshire is an experienced expert witness for both the prosecution and defense, and is a registered expert with the National Crime Agency. She is a fellow of the Chartered Society of Forensic Sciences, the Royal Society of Biology, and the Linnean Society.",F,4.0,1
25,25, Melania and Me, Stephanie Winston Wolkoff,/w/melania-and-me-stephanie-winston-wolkoff/1137307462?ean=9781982151249,Gallery Books,09/01/2020,352,416," summarized"">
Stephanie Winston Wolkoff, former trusted advisor to First Lady Melania Trump, is the founder of SWW Creative, a consulting agency known for its work in event production, branding, and strategic partnerships. Wolkoff served as executive producer and chief creative officer of the 58th Presi­dential Inauguration and senior advisor to inauguration chairman Thomas J. Barrack, Jr. She was also the director of Special Events for <i>Vogue</i>; the founding fashion director for Lincoln Center, overseeing Mercedes-Benz Fash­ion Week; and a recipient of the 2011 Gordon Parks Foundation Award. Currently she’s vice chairperson for the Fed­eral Enforcement Homeland Security Foundation, advisor to Hopeland, and a board member of the UN Women for Peace Association, which is committed to the prevention of violence against women and girls. Through her association with the Yale Center for Emotional Intelligence, she is an advocate for integrating the teaching of social-emotional learning into our education systems nationally and worldwide. Wolkoff resides in New York with her family.",F,3.1,9
26,26," Year of the Monkey, Author", Patti Smith,/w/year-of-the-monkey-patti-smith/1131080227?ean=9781984898920,Knopf Doubleday Publishing Group,09/01/2020,224,"45,759",""">
PATTI SMITH is the author of <i>Just Kids</i>, which won the National Book Award in 2010, and of <i>M Train</i>, as well as numerous collections of poetry and essays. Her seminal album <i>Horses</i> has been hailed as one of the top 100 albums of all time. In 2005, the French Ministry of Culture awarded Smith the title of Commandeur des Arts et des Lettres; she was inducted into the Rock and Roll Hall of Fame in 2007.",F,5.0,1
27,27," I Have Something to Tell You, Author", Chasten Buttigieg,/w/i-have-something-to-tell-you-chasten-buttigieg/1136996982?ean=9781982138127,Atria Books,09/01/2020,256,"1,322",""">
Chasten Glezman Buttigieg was born and raised in Traverse City, Michigan. A thespian, two-time 4-H blue-ribboner, and decorated member of the high school bowling team, he received his bachelor’s degree in theater and global studies from the University of Wisconsin—Eau Claire and his master’s in education from DePaul University. He has worked as a busboy, dog walker, nursing assistant, waiter, cashier, bartender, and most recently a middle school drama and humanities teacher. He lives in South Bend, Indiana, with his husband, Peter, and their two rescue dogs. <i>I Have Something to Tell You</i> is his first book.",M,5.0,1
28,28, His Truth Is Marching On, Jon  Meacham,/w/his-truth-is-marching-on-jon-meacham/1137044992?ean=9781984855022,Random House Publishing Group,08/25/2020,368,206,""">
<b>Jon Meacham </b>is a Pulitzer Prize–winning biographer. A contributing writer for <i>The New York Times Book Review </i>and a contributing editor of <i>Time </i>magazine, he is the author of the <i>New York Times </i>bestsellers <i>The Hope of Glory, Destiny and Power: The American Odyssey of George Herbert Walker Bush, Thomas Jefferson: The Art of Power, American Lion: Andrew Jackson in the White House, American Gospel, </i>and <i>Franklin and Winston</i>. Meacham, who holds the Rogers Chair in the American Presidency at Vanderbilt University, lives in Nashville.",M,4.8,10
29,29, Superman's Not Coming, Erin Brockovich,/w/supermans-not-coming-erin-brockovich/1135256773?ean=9781524746964,Knopf Doubleday Publishing Group,08/25/2020,384,"62,849",""">
<b>ERIN BROCKOVICH</b> is the president of Brockovich Research &amp; Consulting and the founder of the Erin Brockovich Foundation, a nonprofit organization created to educate and empower communities in their fight for clean water. She is the coauthor of <i>Take It from Me: Life’s a Struggle but You Can Win </i>and has her own show on PodcastOne. She lives in Southern California.<br/>  <br/> <b>SUZANNE BOOTHBY </b>is the author of <i>The After Cancer Diet</i>. She is a journalist who writes about health, politics, food, and eco-conscious stories and is a graduate of Northwestern University’s Medill School of Journalism. She lives in Asheville, North Carolina.",F,0,0
30,30," Tales from the Ant World, Author", Edward O. Wilson,/w/tales-from-the-ant-world-edward-o-wilson/1133534050?ean=9781631495564,Liveright Publishing Corporation,08/25/2020,240,"63,471",""">
Edward O. Wilson is the author of more than thirty books, including Anthill, a novel, and The Meaning of Human Existence, a finalist for the National Book Award. The winner of two Pulitzer Prizes, Wilson is a professor emeritus at Harvard University and lives with his wife, Irene, in Lexington, Massachusetts.",M,0,0
31,31, The Smallest Lights in the Universe, Sara Seager,/w/the-smallest-lights-in-the-universe-sara-seager/1130400740?ean=9780525576259,Crown Publishing Group,08/18/2020,320,"85,234",""">
<b>Sara Seager</b> is an astrophysicist and a professor of physics and planetary science at MIT. She led NASA’s Probe Study team for the Starshade project. Her research is focused on the search for the first Earth-like exoplanet, and she has introduced many new ideas to the field of exoplanet characterization, including work that led to the first detection of an exoplanet atmosphere. She lives with her family in Concord, Massachusetts.",F,0,0
32,32, Know My Name, Chanel Miller,/w/know-my-name-chanel-miller/1133331981?ean=9780735223721,Penguin Publishing Group,08/18/2020,384,603,""">
<b>Chanel Miller</b> is a writer and artist who received her BA in Literature from the University of California, Santa Barbara. Her critically acclaimed memoir, KNOW MY NAME, was a <i>New York Times</i> bestseller, a <i>New York Times Book Review</i> Notable Book, and a National Book Critics Circle Award winner, as well as a best book of 2019 in <i>Time,</i> the <i>Washington Post</i>, the <i>Chicago Tribune,</i> NPR, and <i>People,</i> among others. She is a 2019 Time Next 100 honoree and a 2016 Glamour Woman of the Year honoree under her pseudonym, ""Emily Doe.""",F,4.9,11
33,33, Uprising, Diamond &amp; Silk,/w/uprising-diamond-silk/1136602699?ean=9781684510078,Regnery Publishing,08/18/2020,256,"13,388",""">
Diamond and Silk, born Lynnette and Rochelle Hardaway, became overnight celebrities because of their early support for Donald Trump’s candidacy for President of the United States. Their fearless and astute commentary on politics and social issues can be enjoyed on Facebook, Twitter, and at ChatDit.com.",Unknown,4.0,4
34,34, Hatemonger, Jean Guerrero,/w/hatemonger-jean-guerrero/1136469377?ean=9780062986719,HarperCollins Publishers,08/11/2020,336,"28,183",""">
Jean Guerrero is an Emmy-winning investigative border reporter for KPBS in San Diego and the author of <em>Crux: A Cross-Border Memoir</em>, which won the PEN/FUSION Emerging Writers prize. She began her career at the <em>Wall Street Journal</em> and Dow Jones Newswires as a correspondent in Mexico City. She is a contributor to the <em>New York Times</em> as well as NPR, PBS, and other public media, and her writing is featured in <em>Best American Essays 2019</em>, edited by Rebecca Solnit. Guerrero lives in La Mesa, California. ",F,0,0
35,35, Finding Freedom, Omid Scobie,/w/finding-freedom-omid-scobie/1137000433?ean=9780063046108,HarperCollins Publishers,08/11/2020,368,"3,154",""">
Omid Scobie is a London-based writer, royal editor for <em>Harper’s Bazaar</em>, an ABC News contributor, “Good Morning America” regular and host of ABC’s popular royal podcast, “The Heir Pod.” Scobie has become an authoritative voice on the lives and philanthropic endeavors of the Royal Family’s younger members and maintains strong access to the Sussexes’ working world.<br/><p>Carolyn Durand is a producer and writer who has spent nearly two decades working in London covering Buckingham Palace, Kensington Palace, Clarence House and other major international events. During that time, she produced multiple interviews with members of the Royal Family including Prince Harry. She contributes to <em>O, The Oprah Magazine</em>, <em>Elle</em> Magazine and other American and British news outlets.</p>",F,3.3,13
