,Unnamed: 0,book,author,URL,publisher,date,pages,Sales_rank,author_info,assumed_author_gender,avg_rating,no_of_reviews
46,6, When Truth Is All You Have, Jim McCloskey,/w/when-truth-is-all-you-have-jim-mccloskey/1133982144?ean=9780385545037,Knopf Doubleday Publishing Group,07/14/2020,320,"32,818",""">
<b>JIM McCLOSKEY</b> is the founder of Centurion Ministries. He served in the U.S. Navy, patrolling rivers in the Mekong Delta of Vietnam, and spent twelve years in international consulting. He has a Masters of Divinity from Princeton Theological Seminary. Today McCloskey is retired from active oversight of Centurion, though he continues to serve on the board and pursue cases.<br/><br/><b>PHILIP LERMAN </b>has been the national editor of <i>USA Today</i>, co-producer of ""America's Most Wanted,"" and executive producer of PBS's ""Made in Spain."" He is the author of <i>Dadditude</i> and co-author of numerous nonfiction books.",M,5.0,2
47,7," A Very Punchable Face, Author", Colin Jost,/w/a-very-punchable-face-colin-jost/1133865077?ean=9781101906323,Crown Publishing Group,07/14/2020,336,"7,338",""">
<b>Colin Jost</b> is a head writer at <i>Saturday Night Live, </i>a<i> Weekend Update </i>co-anchor, and a touring stand-up comedian. He has five Writers Guild Awards, two Peabody Awards, and a PETA Elly Award for the sketch “Diner Lobster.” He’s also been nominated for thirteen Emmy Awards and lost every time. He lives in New York and in the hearts of children everywhere.",M,4.4,8
48,8, Lake of the Ozarks, Bill Geist,/w/lake-of-the-ozarks-bill-geist/1129473085?ean=9781538729823,Grand Central Publishing,07/14/2020,208,"71,509",""">
<b>Bill Geist </b>is the <i>New York Times</i> bestselling author of nine books, including <i>City Slickers, Little League Confidential, The Big Five-Oh, Fore! Play!, </i>and <i>Way Off the Road</i>. Geist has won numerous Emmys and in 2011 was awarded a star on the Hollywood Walk of Fame for the hundreds of ""singular, informative, entertaining"" pieces he has done since joining CBS in 1987. He was awarded the Bronze Star for his service as a combat photographer in Vietnam in 1969. In 2018 he retired from CBS having battled Parkinson's disease for twenty-five years. Geist lives in Riverside, Connecticut, with his wife, Jody. They have two children, Willie and Libby, and four grandchildren.",M,5.0,3
49,9, The Beauty in Breaking, Michele Harper,/w/the-beauty-in-breaking-michele-harper/1134967155?ean=9780525537380,Penguin Publishing Group,07/07/2020,304,"6,611",""">
<b>Michele Harper</b> has worked as an emergency room physician for more than a decade at various institutions, including as chief resident at Lincoln Hospital in the South Bronx and in the emergency department at the Veterans Affairs Medical Center in Philadelphia. She is a graduate of Harvard University and the Renaissance School of Medicine at Stony Brook University. <i>The Beauty in Breaking</i> is her first book.",F,5.0,2
50,10," Becoming Duchess Goldblatt, Author", Anonymous,/w/becoming-duchess-goldblatt-anonymous/1132552384?ean=9780358216773,HMH Books,07/07/2020,240,"28,344",""">
<br/>DUCHESS GOLDBLATT, 81, is the inspirational author of <i>An Axe to Grind</i>; <i>Feasting on the Carcasses of My Enemies: A Love Story</i>; and the heartwarming meditation on mothers and daughters <i>Not If I Kill You First</i>. A cultural icon, trophy ex-wife, friend to all humanity, and sponsor of the prestigious Goldblatt Prize in Fiction, she lives in Crooked Path, NY. She’s fictional but her love is real. ANONYMOUS, the real-life person in whose mind Duchess Goldblatt lives and flourishes, has gathered all available truth and beauty for these pages. There’s nothing else to give.",F,4.3,4
51,11, Demagogue, Larry Tye,/w/demagogue-larry-tye/1132050990?ean=9781328959720,HMH Books,07/07/2020,608,"14,190",""">
LARRY TYE is the best-selling author of <i>Bobby Kennedy</i> and <i>Satchel, </i>as well as <i>Superman,</i> <i>The Father of Spin, Home Lands, </i>and<i> Rising from the Rails, </i>and coauthor, with Kitty Dukakis, of <i>Shock</i>. He lives in Massachusetts.",M,0,0
52,12, The Hungover Games, Sophie Heawood,/w/the-hungover-games-sophie-heawood/1135114149?ean=9780316499064,"Little, Brown and Company",07/07/2020,272,"285,904",""">
<b>Sophie Heawood </b>grew up in Yorkshire, where she developed an early understanding of celebrity as the only vegetarian in the local state school, and wrote earnest letters to the South African ambassador about apartheid, aged ten. She later studied languages at Kings College and Birkbeck, both part of London University, while working nights as the door-girl in the legendary nightclub Trash.<br/><br/><br/>She has also lived in Barcelona working as an au pair, in Hong Kong working as an extra in Chinese soap operas, and in Los Angeles, where she interviewed the famous and wrote columns on modern life for publications including the <i>Sunday Times, Guardian, Observer, Vogue, </i>and <i>Vice</i> magazine. She was nominated for Interviewer of the Year at the British Press Awards 2019. She lives in Hackney, East London, with her daughter, and hasn't quite stopped nightclubbing yet.",F,2.0,1
53,13, Notes on a Silencing, Lacy Crawford,/w/notes-on-a-silencing-lacy-crawford/1134698043?ean=9780316491556,"Little, Brown and Company",07/07/2020,400,"17,491",""">
<b>Lacy Crawford</b> is the author of the novel <i>Early Decision.</i> She lives in Southern California with her family.",F,4.0,1
54,14, This Is Not a T-Shirt, Bobby Hundreds,/w/this-is-not-a-t-shirt-bobby-hundreds/1130004894?ean=9781250619655,Picador,07/07/2020,352,"84,069",""">
<b>Bobby Kim</b>, also known as Bobby Hundreds, is an illustrator, documentarian, designer, and writer. In 2003, he co-founded The Hundreds with Ben Shenassafar. The two are also partners in Second Sons, a brand development group that incubates, structures, and facilitates other small businesses. Bobby lives in Los Angeles with his wife and two sons. He also feels like notes about the author are redundant for memoirs.",M,5.0,15
55,15," The Yellow House (2019 National Book Award Winner), Author", Sarah M. Broom,/w/the-yellow-house-sarah-broom/1129761250?ean=9780802149039,"Grove/Atlantic, Inc.",06/30/2020,400,337,""">
<b>Sarah M. Broom</b> is a writer whose work has appeared in the <i>New Yorker</i>, <i>The New York Times Magazine</i>, <i>The Oxford American</i>, and <i>O, The Oprah Magazine</i> among others. A native New Orleanian, she received her Masters in Journalism from the University of California, Berkeley in 2004. She was awarded a Whiting Foundation Creative Nonfiction Grant in 2016 and was a finalist for the New York Foundation for the Arts Fellowship in Creative Nonfiction in 2011. She has also been awarded fellowships at Djerassi Resident Artists Program and The MacDowell Colony. She lives in New York state.",F,4.3,4
